V_Word,about,above,af,after,again,against,all,almost,along,also,although,always,american,among,an,another,any,are,area,around,as,asked,at,away,back,be,because,become,been,before,began,being,best,better,between,big,both,business,but,by,called,came,can,case,certain,children,church,city,come,could,country,course,day,days,development,did,different,do,does,done,door,down,during,each,early,end,enough,even,ever,every,example,eyes,face,fact,family,far,felt,few,find,first,for,form,found,four,from,general,get,give,given,go,god,going,good,got,government,great,group,had,hand,has,have,he,head,help,her,here,high,him,himself,his,home,house,how,however,human,if,important,interest,into,is,it,its,itself,john,just,kind,knew,know,large,last,later,law,least,left,less,let,life,light,like,line,little,long,look,looked,made,make,man,many,matter,may,me,means,members,men,might,mind,more,most,much,must,my,name,national,need,never,new,next,night,no,not,nothing,now,number,off,often,old,on,once,one,only,open,or,order,other,others,our,out,over,own,part,people,per,perhaps,place,point,possible,power,present,president,problem,program,public,put,rather,right,room,said,same,saw,say,school,second,see,seemed,sense,service,set,several,she,should,side,since,small,so,social,some,something,state,states,still,such,system,take,than,that,their,them,then,there,these,they,thing,things,think,this,those,though,thought,three,through,thus,time,times,told,too,took,toward,turned,two,under,united,until,up,upon,us,use,used,very,want,war,was,water,way,we,well,went,were,what,when,where,which,while,white,who,whole,why,will,with,within,without,work,world,would,year,years,yet,york,you,young,your,about,above,af,after,again,against,all,almost,along,also,although,always,american,among,an,another,any,are,area,around,as,asked,at,away,back,be,because,become,been,before,began,being,best,better,between,big,both,business,but,by,called,came,can,case,certain,children,church,city,come,could,country,course,day,days,development,did,different,do,does,done,door,down,during,each,early,end,enough,even,ever,every,example,eyes,face,fact,family,far,felt,few,find,first,for,form,found,four,from,general,get,give,given,go,god,going,good,got,government,great,group,had,hand,has,have,he,head,help,her,here,high,him,himself,his,home,house,how,however,human,if,important,interest,into,is,it,its,itself,john,just,kind,knew,know,large,last,later,law,least,left,less,let,life,light,like,line,little,long,look,looked,made,make,man,many,matter,may,me,means,members,men,might,mind,more,most,much,must,my,name,national,need,never,new,next,night,no,not,nothing,now,number,off,often,old,on,once,one,only,open,or,order,other,others,our,out,over,own,part,people,per,perhaps,place,point,possible,power,present,president,problem,program,public,put,rather,right,room,said,same,saw,say,school,second,see,seemed,sense,service,set,several,she,should,side,since,small,so,social,some,something,state,states,still,such,system,take,than,that,their,them,then,there,these,they,thing,things,think,this,those,though,thought,three,through,thus,time,times,told,too,took,toward,turned,two,under,united,until,up,upon,us,use,used,very,want,war,was,water,way,we,well,went,were,what,when,where,which,while,white,who,whole,why,will,with,within,without,work,world,would,year,years,yet,york,you,young,your
make,3,1,0,1,1,0,2,0,0,5,0,2,0,0,1,3,0,8,0,0,9,1,1,1,1,6,0,1,6,3,2,0,2,1,0,0,0,0,8,5,0,1,42,0,0,2,0,0,1,21,0,0,1,3,0,12,0,10,5,0,0,4,0,3,1,1,6,1,3,0,0,1,0,0,0,1,4,2,0,2,9,1,0,1,1,1,0,0,0,1,2,5,0,1,0,1,0,7,0,1,8,22,2,4,12,2,0,8,1,5,1,0,0,0,0,5,1,0,0,17,11,0,0,0,1,0,0,2,0,1,1,0,0,0,0,2,1,0,5,1,0,1,0,0,0,0,6,2,0,10,3,1,0,4,10,1,4,2,1,8,2,1,1,2,3,1,1,0,0,29,1,2,2,2,2,0,6,0,9,2,0,6,4,3,2,0,3,3,3,0,1,0,0,1,0,7,3,0,2,1,1,0,0,0,3,2,4,0,0,2,0,0,3,1,0,0,1,1,4,13,0,1,0,5,0,1,1,2,1,2,2,0,0,3,22,3,7,4,0,4,25,0,4,2,13,6,1,1,2,1,0,3,0,0,1,0,0,0,1,1,0,0,2,2,3,1,5,1,7,1,22,1,4,20,4,1,1,3,4,1,14,1,1,8,2,4,25,7,0,0,2,2,44,1,2,1,0,40,0,1,1,0,0,0,1,0,7,0,0,1,0,0,1,0,23,4,20,0,1,0,7,0,3,0,2,2,0,0,0,1,0,1,1,5,5,0,2,0,4,1,0,0,0,1,2,0,2,0,3,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,4,4,0,5,23,0,0,2,1,0,1,1,0,2,0,0,7,0,1,2,0,0,0,0,0,9,0,0,10,0,0,19,5,22,2,0,0,0,1,1,0,0,0,0,82,3,4,0,1,3,0,0,1,1,0,3,0,1,0,0,4,0,2,0,9,1,5,0,0,0,2,1,0,0,6,0,0,2,0,0,10,7,2,0,8,2,0,0,0,3,0,0,15,3,0,0,0,0,0,1,9,0,11,2,0,7,0,2,0,4,17,1,1,4,1,0,0,2,4,12,0,0,1,0,0,1,1,0,3,4,0,2,0,1,0,1,0,0,9,0,0,1,1,0,0,0,1,3,1,11,2,0,0,0,5,0,0,0,23,13,24,3,1,1,1,1,0,2,16,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,19,0,4,12,0,2,1,0,0,1,1,2,1,0,0,4,2,0,1,1,0,0,0,0,1,9,0,0,2,4,0,0,1,0,0,19,0,14
man,6,0,0,3,2,3,5,1,1,3,0,1,2,0,33,10,21,5,0,0,36,0,10,1,5,21,4,3,8,9,1,3,3,1,5,21,3,5,11,17,2,2,5,2,0,0,0,0,1,3,1,0,1,0,0,2,1,4,1,0,1,4,0,11,0,2,2,0,2,11,3,2,1,1,3,3,0,0,0,3,34,0,0,0,14,0,1,2,1,1,9,0,10,1,0,5,0,6,2,0,1,19,3,1,5,4,0,8,5,12,2,1,4,0,0,14,0,1,4,32,15,0,1,0,5,5,2,5,1,0,1,1,1,1,0,1,3,1,13,1,11,0,2,1,2,2,8,2,1,1,1,0,0,0,1,1,1,4,2,1,9,0,0,2,1,4,1,0,18,14,1,5,0,0,2,68,11,4,36,18,1,7,2,6,0,5,1,5,3,3,0,0,2,3,1,0,1,1,0,0,0,1,3,2,1,1,10,1,5,3,0,0,2,0,0,0,0,0,3,0,1,1,4,3,0,0,1,2,1,0,6,1,1,8,50,1,3,4,6,1,0,1,1,2,30,0,1,2,1,1,3,5,1,2,3,0,3,1,0,0,0,1,4,2,3,1,0,10,0,1,58,0,4,0,1,1,2,10,9,3,20,2,8,5,2,1,1,18,3,1,0,6,7,0,1,2,1,5,49,1,5,1,0,2,3,5,5,2,0,5,0,0,2,1,15,4,4,2,0,2,22,3,11,1,4,20,1,0,4,3,4,3,3,0,0,1,1,0,24,11,2,7,12,0,1,0,1,1,4,20,0,0,2,0,0,9,0,2,1,1,2,0,0,1,2,0,3,3,6,1,0,1,2,2,0,0,2,1,1,5,15,0,0,1,14,0,5,2,3,2,4,2,3,3,2,3,0,53,2,19,10,61,1,0,4,1,0,7,5,59,0,3,1,2,0,4,0,0,3,54,25,0,0,2,8,2,2,1,0,3,0,1,0,3,1,1,0,1,6,0,1,3,1,4,5,6,8,2,0,4,4,0,0,0,3,0,0,4,0,15,4,3,0,1,5,3,3,1,10,25,0,4,0,2,1,2,21,3,8,5,0,21,0,2,1,0,13,5,4,1,1,0,1,0,2,0,0,3,0,0,0,0,3,2,1,2,17,0,0,1,0,2,5,2,1,1,0,1,9,4,1,2,0,6,0,1,0,1,0,2,2,0,2,2,17,0,5,2,5,2,1,0,0,1,14,1,0,3,2,3,3,1,2,6,4,2,1,2,4,2,0,0,7,0,0,2,2,6,0,0,56,0,1,9,2,2,4,1,7,0,4,0,6,103,0,3,7,52,1,1,0,5,14,1,2,1,0,15,1,1
many,3,0,1,4,0,2,6,1,2,1,1,0,1,7,0,2,2,52,0,0,58,1,7,0,3,9,2,3,10,0,0,1,0,1,0,0,1,2,18,24,0,0,6,1,0,1,0,0,0,1,2,5,4,3,2,2,0,5,0,2,0,2,2,1,0,1,1,4,0,0,0,1,1,4,0,3,1,4,6,2,67,0,2,0,12,2,3,0,1,2,1,0,11,1,1,17,0,15,1,15,21,5,0,0,2,3,1,4,0,4,0,2,42,1,0,1,1,3,4,14,8,5,1,1,1,0,2,1,1,1,1,0,0,3,0,0,5,0,10,0,0,1,0,0,5,1,2,11,4,2,3,1,1,1,0,1,1,0,3,2,0,1,0,1,1,1,0,1,2,8,0,2,0,2,0,0,15,3,10,3,1,8,2,7,2,3,8,1,0,2,2,0,0,2,1,1,0,1,0,2,1,0,3,0,1,0,3,0,0,0,1,0,3,0,0,1,0,1,1,0,0,3,1,66,0,1,2,0,2,6,1,1,4,4,54,2,5,4,39,7,5,1,1,2,12,2,4,1,0,3,1,2,5,2,35,1,0,0,1,0,1,0,3,0,2,2,2,2,0,0,7,1,2,3,5,0,19,4,1,1,11,3,1,3,0,2,3,29,0,1,2,0,3,2,10,1,1,3,0,0,4,0,0,2,0,1,2,0,0,2,0,0,3,3,4,1,2,33,0,1,35,0,4,2,0,8,2,0,3,2,0,2,1,0,1,4,1,2,13,1,1,2,3,0,0,8,1,0,3,3,2,1,0,2,0,3,4,5,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,1,0,1,3,23,1,0,0,7,0,1,1,0,2,1,0,1,0,0,3,0,7,0,5,22,18,0,0,0,2,2,2,0,10,2,0,0,1,1,1,2,0,3,7,12,2,0,0,1,0,0,1,3,0,5,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,2,11,0,2,0,0,6,14,0,0,16,4,0,1,3,1,2,3,0,7,0,1,0,2,0,3,0,0,0,3,7,0,1,1,0,6,0,32,11,6,0,0,1,0,33,0,2,0,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,4,0,0,0,0,2,0,1,2,0,2,1,5,3,2,6,0,2,5,4,5,0,1,1,16,8,22,0,8,17,9,0,19,3,6,4,0,0,0,0,0,3,26,0,1,0,0,0,2,1,3,0,1,0,9,1,1,2,0,3,2,0,0,4,0,0,16,3,2,2,10,0,1,12,0,1,6,10,2,1,0,1,4,0,41,2,0,5,5,3
matter,1,0,0,0,0,1,4,0,0,0,2,0,0,0,1,3,2,2,0,0,24,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,2,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,16,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,1,1,0,3,0,1,0,0,0,0,1,1,2,36,24,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,6,0,1,0,0,0,1,0,0,0,0,0,56,5,0,1,0,0,1,0,3,0,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,2,28,0,1,2,1,1,1,0,1,0,16,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,12,0,1,0,1,1,0,3,1,0,0,0,0,0,2,0,1,4,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,4,0,0,4,1,3,0,0,5,0,0,0,3,0,1,1,0,0,0,1,0,5,3,0,2,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,17,0,0,0,1,0,1,6,1,0,0,4,2,1,0,0,0,0,0,1,1,0,1,0,4,0,4,1,9,0,0,1,0,2,3,0,5,0,1,26,0,1,2,0,0,1,15,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,4,1,2,2,0,0,0,1,0,2,1,1,0,3,1,0,0,0,1,0,0,3,5,2,1,0,0,1,0,0,0,5,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,0,1,0,2,0,1,2,1,1,0,0,1,14,1,1,2,4,0,4,0,0,0,4,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,6,1,1,1,4,0,1,17,3,1,4,0,0,4,0,0,2,14,0,0,0,1,1,0,0,0,0,8,0,1
may,2,3,3,0,4,0,7,0,0,5,4,0,2,1,2,5,5,1,6,1,37,0,7,0,1,4,2,0,3,2,0,1,1,1,0,0,0,4,13,9,0,0,3,6,2,2,3,0,2,0,2,1,3,1,4,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,1,2,0,1,0,1,13,2,2,0,8,6,0,0,0,2,1,0,2,0,1,1,1,1,2,0,2,57,0,1,3,4,1,4,0,11,3,0,2,6,0,4,1,4,1,3,106,4,2,0,0,1,0,0,0,5,0,2,2,1,0,0,5,2,0,1,1,3,0,0,4,0,4,2,2,13,2,1,4,1,0,2,5,0,1,0,1,0,0,1,1,2,1,2,1,0,0,2,1,0,1,1,31,1,26,0,1,33,1,3,6,6,2,2,1,1,2,1,0,2,1,1,2,1,1,1,1,3,0,1,0,2,3,1,0,2,2,1,3,0,1,0,2,0,6,0,0,4,2,7,0,10,1,8,8,1,8,2,0,5,75,1,8,3,22,14,45,0,3,1,59,2,11,0,0,3,2,5,1,1,4,2,0,0,3,0,3,0,1,1,3,2,0,0,0,2,4,3,2,51,1,0,2,13,2,10,65,7,2,7,1,0,1,3,0,0,2,4,0,4,2,0,1,75,3,1,1,0,1,1,0,2,7,0,0,25,0,1,0,0,12,3,3,0,0,0,14,0,9,0,4,559,1,10,36,2,0,0,0,1,0,1,3,0,6,8,3,1,0,2,7,0,0,0,12,0,0,3,1,0,0,1,2,10,0,0,0,1,2,0,2,2,0,7,0,1,1,0,0,3,0,3,0,1,17,3,11,1,8,1,15,2,7,4,1,8,0,0,4,0,2,2,0,2,0,0,151,5,1,4,2,2,1,3,1,7,0,0,0,1,0,0,1,3,5,5,11,6,1,0,3,1,0,3,1,2,4,0,0,1,1,0,1,1,1,0,2,1,0,0,16,10,1,2,1,13,0,0,0,0,0,1,13,6,0,2,0,1,2,4,3,1,3,0,4,73,0,5,1,0,2,1,8,1,7,5,1,17,2,1,1,4,4,1,0,1,2,1,5,0,3,4,0,3,2,0,0,1,2,0,3,0,12,1,0,10,0,0,4,0,1,0,3,1,2,0,0,0,3,8,1,17,0,2,0,7,2,0,12,0,32,6,2,4,2,3,2,0,0,6,7,0,0,2,0,3,1,2,0,2,5,0,1,0,2,4,1,0,3,2,3,4,8,10,7,1,1,1,1,5,24,0,1,2,2,1,4,2,0,2,0,1,1,12,0,3,2,1,0,4,1,3,0,6,0,6
me,18,2,0,1,2,8,7,0,5,0,0,5,0,0,2,0,1,1,0,8,1,17,26,4,4,6,1,0,3,1,0,0,1,0,2,0,0,0,8,4,5,7,3,1,0,0,2,0,9,9,0,0,1,1,0,2,0,6,1,2,0,7,0,0,0,1,3,3,2,0,0,1,1,0,0,1,2,0,3,0,58,0,1,0,19,0,7,22,4,0,1,8,0,2,0,0,1,21,2,11,18,61,1,15,2,4,0,5,1,2,2,0,1,0,0,1,1,1,2,6,55,1,0,0,12,0,0,2,0,1,0,1,0,4,0,45,2,1,6,0,1,1,2,8,15,6,4,0,2,0,11,3,0,0,2,2,4,0,0,5,1,0,0,0,4,0,3,2,3,23,3,6,0,1,0,1,20,1,5,4,1,1,0,1,1,0,7,5,1,2,2,0,1,1,0,0,1,0,0,0,0,0,4,0,3,2,14,2,4,1,1,0,11,8,1,1,0,0,20,0,1,0,1,7,0,1,1,0,0,1,1,0,8,2,19,0,2,3,3,0,14,1,2,1,10,0,1,1,0,0,0,2,0,43,0,9,5,4,0,2,0,0,12,5,0,2,3,2,12,0,19,0,5,0,1,3,6,8,1,0,7,0,0,8,0,3,5,53,2,0,2,1,21,0,1,2,0,62,0,0,18,1,0,4,3,1,10,1,2,1,1,2,0,1,10,2,3,3,0,3,34,6,19,1,11,14,8,3,1,3,0,3,0,1,1,2,3,0,34,15,2,0,4,2,2,0,1,0,4,9,0,0,4,1,0,4,0,15,0,0,0,5,1,0,1,1,2,6,1,3,0,4,0,0,2,0,4,1,2,5,28,0,2,0,14,1,8,2,0,13,2,5,7,6,0,0,1,15,0,7,9,58,0,4,18,8,1,10,2,20,3,1,5,0,0,26,0,0,3,13,29,3,0,0,5,0,1,8,2,3,3,0,5,0,2,8,4,0,8,0,8,6,5,3,1,3,1,3,0,2,11,0,0,2,0,1,9,0,1,0,25,2,0,0,6,1,2,2,5,15,1,8,1,1,0,1,22,6,9,4,0,7,1,3,1,4,12,4,2,0,0,0,2,1,0,1,1,0,2,0,0,1,0,0,5,0,23,1,0,4,1,1,8,1,0,0,2,0,18,4,1,4,3,12,1,7,3,0,0,2,5,0,6,5,68,4,8,12,13,4,6,2,3,5,23,2,2,3,2,1,0,8,1,4,7,3,3,1,2,0,0,1,19,0,3,1,0,2,3,1,41,0,1,8,2,6,7,13,21,6,5,1,0,4,0,8,8,28,1,0,3,2,5,1,1,2,0,34,2,15
means,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,2,7,1,1,0,18,0,0,0,0,5,1,0,0,0,0,1,0,0,2,0,1,0,4,74,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,1,0,0,1,0,1,0,1,0,0,1,2,1,0,0,8,23,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,2,0,1,24,4,0,2,0,0,1,0,2,0,3,5,0,3,0,6,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,7,1,0,0,0,4,1,0,2,1,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,9,0,0,9,0,0,0,0,0,1,7,0,1,0,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,3,1,0,14,1,0,5,0,1,4,1,4,0,0,5,0,0,1,0,0,0,0,0,1,0,2,0,3,7,1,0,1,1,2,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,4,6,0,1,1,0,1,1,0,2,0,0,0,0,0,2,1,0,0,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,3,1,0,1,0,0,5,2,3,2,2,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,2,0,2,1,0,6,0,4,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,3,3,0,0,0,2,2,3,0,0,2,1,1,0,0,3,27,1,1,1,4,2,0,0,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,0,2,0,0,2,0,0,0,3,2,0,6,0,0,1,0,1,0,3,0,1,1,0,1,0,0,0,0,2,0,1
members,1,0,0,0,1,2,14,1,0,2,0,0,0,6,0,0,2,8,0,0,3,1,1,0,1,2,0,2,1,0,0,0,0,0,1,0,0,1,1,18,0,0,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,6,2,0,0,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,1,1,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,31,0,1,0,4,0,0,0,0,0,1,0,1,9,2,1,2,0,18,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,2,7,8,1,0,0,1,1,0,0,0,1,3,0,0,5,0,0,2,0,2,0,0,0,0,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,0,0,1,0,1,4,15,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,3,0,3,7,1,0,6,0,2,1,0,3,1,3,0,1,0,0,0,0,0,0,1,1,4,0,1,1,2,1,0,0,6,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,4,3,0,0,4,2,0,0,3,0,1,0,0,4,0,1,0,0,0,1,0,0,1,4,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,2,0,10,0,0,1,0,4,0,2,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,3,0,0,0,2,3,1,0,1,1,0,0,1,0,0,8,6,1,1,0,1,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,7,2,0,0,1,0,1,9,0,0,7,3,2,0,0,3,3,0,2,0,0,1,2,0
men,5,1,0,2,0,3,25,1,0,0,0,0,5,4,0,1,4,2,0,0,9,1,6,2,2,5,1,0,1,1,1,2,2,0,3,0,7,1,6,21,1,3,0,0,0,1,0,1,0,1,0,2,0,0,2,2,0,3,0,0,1,2,0,0,0,0,0,5,1,0,0,3,1,0,0,0,0,4,1,0,20,0,1,7,10,0,1,2,1,1,1,0,3,0,2,4,13,2,0,1,2,2,0,1,0,1,0,3,0,21,1,0,4,0,0,3,0,0,2,4,4,0,0,0,1,1,1,2,1,0,0,0,1,0,1,0,1,0,4,1,1,0,0,0,0,2,0,14,0,0,2,1,1,3,0,0,9,8,1,0,6,0,0,3,1,5,0,1,3,4,0,1,3,1,0,2,4,2,10,7,1,3,2,24,1,3,3,4,0,0,1,3,0,1,1,0,0,0,0,0,1,2,0,0,2,1,1,1,3,0,1,0,2,0,1,0,2,3,1,0,0,2,0,1,1,12,0,1,0,0,8,0,0,10,40,8,3,0,5,18,3,1,2,3,2,6,1,2,14,0,0,3,0,1,1,0,0,3,52,0,0,0,1,2,0,1,0,0,0,1,3,1,2,0,1,0,16,5,1,5,12,7,4,0,0,1,1,19,0,3,2,2,2,1,1,1,0,1,30,2,3,0,0,1,1,0,9,2,1,1,0,3,0,3,5,0,1,29,0,4,13,1,20,3,1,9,2,3,6,0,2,1,0,0,1,0,2,3,8,9,1,1,7,0,0,2,0,0,5,5,0,0,3,0,0,5,0,5,0,0,0,0,0,3,0,0,1,1,3,0,0,1,0,0,0,1,1,3,2,1,12,0,0,4,12,1,3,2,0,2,0,0,3,2,2,3,1,36,0,4,27,19,1,2,3,0,1,7,0,5,0,0,1,0,0,2,0,0,5,6,11,0,0,1,1,0,2,3,0,1,0,0,0,5,0,0,0,1,6,0,0,2,1,0,2,4,0,1,1,1,0,2,0,3,1,0,4,4,0,3,1,0,0,4,2,4,1,1,6,13,1,0,0,0,3,1,18,1,2,2,0,5,0,2,0,3,7,1,0,0,1,0,0,1,0,0,2,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,2,1,0,0,1,1,1,2,0,2,1,4,0,0,1,3,10,20,10,1,5,5,12,0,1,4,6,2,0,0,1,1,0,2,0,0,1,1,1,1,3,2,0,3,0,0,1,0,1,1,1,1,10,0,0,6,2,3,39,2,2,1,2,0,1,72,0,0,6,23,1,2,1,1,13,0,1,0,0,4,1,1
might,1,0,0,0,2,0,5,0,0,1,2,0,2,0,4,0,1,0,1,0,14,0,1,1,2,0,0,0,2,0,0,0,0,0,1,2,0,0,9,2,0,0,0,2,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,2,0,2,0,0,2,4,0,1,0,4,1,0,0,0,2,0,0,1,0,3,1,0,2,0,0,1,68,0,0,3,0,0,2,2,7,0,0,5,1,0,6,1,0,0,2,61,0,0,1,2,1,2,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,2,2,0,1,2,0,1,0,0,0,0,1,0,1,0,2,1,2,0,0,0,1,1,0,27,0,1,12,1,5,2,3,1,1,0,2,2,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0,1,27,0,0,0,0,3,0,4,2,2,1,0,3,0,0,6,76,4,2,2,9,6,33,0,0,4,16,0,8,10,0,0,1,3,0,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,28,3,0,0,19,3,6,33,5,0,10,1,1,0,1,0,0,3,2,0,2,1,1,0,26,0,2,1,0,0,2,0,0,0,2,0,4,0,1,0,0,5,1,1,0,0,0,14,1,3,0,1,204,1,1,39,0,0,0,2,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,6,2,0,1,0,0,0,1,3,6,0,6,0,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,6,1,9,0,3,0,1,0,8,7,0,3,1,0,1,1,0,2,0,5,0,0,130,7,0,3,10,1,0,6,1,8,0,0,0,0,0,2,0,0,5,1,13,2,0,0,5,0,0,3,0,1,0,0,0,2,1,0,0,0,2,0,1,0,1,2,2,10,1,0,1,0,2,0,0,0,2,0,3,1,1,0,1,0,0,1,6,0,0,1,1,25,0,4,0,1,0,0,8,2,3,3,0,4,0,0,0,0,4,1,0,0,0,0,1,2,1,1,0,2,0,2,0,0,3,0,2,0,5,0,0,9,0,1,6,0,1,1,2,0,1,0,0,1,1,2,0,4,2,0,0,4,2,0,5,0,15,3,1,1,1,0,0,0,0,5,4,0,0,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,5,0,1,4,3,3,0,1,2,1,1,1,30,0,0,1,0,1,0,1,0,0,0,1,0,4,0,1,1,0,0,0,0,1,0,7,0,0
